FLTID,REG,ADEP,ADES,ALDT,AIBT,SIBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
BAW118,GYMMT,VOBL,EGLL,2018-06-10T11:51:00Z,2018-06-10T12:00:00Z,2018-06-10T12:15:00Z,IFR,B772,H,09L,547,ARR,219156821,2018-06-10T11:32:25Z,51.680277777777796,0.5625,118,2018-06-10T11:22:17Z,51.7827777777778,2.18138888888889,294
BAW080,A7ACK,OOMS,EGLL,2018-06-10T13:08:00Z,2018-06-10T13:22:00Z,2018-06-10T12:15:00Z,IFR,A332,H,09L,543,ARR,219158129,2018-06-10T12:49:50Z,51.68,0.561388888888889,118,2018-06-10T12:40:40Z,51.785555555555504,2.17805555555556,310
BAW156,A7ACL,OKBK,EGLL,2018-06-10T14:23:00Z,2018-06-10T14:28:00Z,2018-06-10T12:20:00Z,IFR,A332,H,09L,546,ARR,219162506,2018-06-10T14:00:37Z,51.6797222222222,0.562777777777778,150,2018-06-10T13:49:36Z,51.7833333333333,2.1802777777777806,303
BAW162,GVIIE,LLBG,EGLL,2018-06-10T12:15:00Z,2018-06-10T12:23:00Z,2018-06-10T12:20:00Z,IFR,B772,H,09L,537,ARR,219161899,2018-06-10T11:57:02Z,51.6797222222222,0.562777777777778,138,2018-06-10T11:45:51Z,51.6230555555556,2.2136111111111103,297
BAW34BQ,GMEDL,LIPE,EGLL,2018-06-10T11:57:00Z,2018-06-10T12:05:00Z,2018-06-10T12:25:00Z,IFR,A321,MJ,09L,509,ARR,219167958,2018-06-10T11:40:12Z,51.066111111111105,0.37361111111111095,140,2018-06-10T11:31:57Z,50.3697222222222,1.51083333333333,321
SHT9B,GBNWA,EGPH,EGLL,2018-06-10T11:55:00Z,2018-06-10T12:02:00Z,2018-06-10T12:25:00Z,IFR,B763,H,09L,505,ARR,219169483,2018-06-10T11:34:25Z,51.97444444444439,-1.1786111111111102,152,2018-06-10T11:25:13Z,52.8208333333333,-2.0633333333333304,326
BAW697V,GEUUS,LOWW,EGLL,2018-06-10T12:37:00Z,2018-06-10T12:47:00Z,2018-06-10T12:25:00Z,IFR,A320,MJ,09L,301,ARR,219167203,2018-06-10T12:19:37Z,51.680277777777796,0.562777777777778,123,2018-06-10T12:09:02Z,51.6127777777778,2.21666666666667,310
EWG2460,DAGWZ,EDDS,EGLL,2018-06-10T12:46:00Z,2018-06-10T12:53:00Z,2018-06-10T12:25:00Z,IFR,A319,MJ,09L,218R,ARR,219169283,2018-06-10T12:27:38Z,51.62388888888891,0.586944444444444,142,2018-06-10T12:18:14Z,51.49444444444439,2.2211111111111106,338
EIN164,EIEDP,EIDW,EGLL,2018-06-10T12:10:00Z,2018-06-10T12:21:00Z,2018-06-10T12:30:00Z,IFR,A320,MJ,09L,221L,ARR,219169744,2018-06-10T11:51:02Z,51.972500000000004,-1.1825,145,2018-06-10T11:41:58Z,52.768611111111106,-2.1736111111111103,306
DAH2054,7TVJZ,DAAG,EGLL,2018-06-10T12:03:00Z,2018-06-10T12:16:00Z,2018-06-10T12:30:00Z,IFR,A332,H,09L,408,ARR,219166584,2018-06-10T11:37:25Z,50.9305555555556,-1.0661111111111101,151,2018-06-10T11:27:32Z,50.0036111111111,-1.68444444444444,314
BAW9PW,GTTOE,LEPA,EGLL,2018-06-10T12:51:00Z,2018-06-10T12:55:00Z,2018-06-10T12:30:00Z,IFR,A320,MJ,09L,511,ARR,219167905,2018-06-10T12:28:30Z,50.9155555555555,-1.03388888888889,145,2018-06-10T12:20:44Z,49.95944444444439,-1.5469444444444398,320
BAW983,GEUPC,EDDT,EGLL,2018-06-10T12:14:00Z,2018-06-10T12:20:00Z,2018-06-10T12:30:00Z,IFR,A319,MJ,09L,563,ARR,219168500,2018-06-10T11:55:11Z,51.68,0.561666666666667,126,2018-06-10T11:44:09Z,51.785555555555504,2.1788888888888898,296
