FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
SIA317,9VSKW,EGLL,WSSS,2018-06-10T10:54:00Z,2018-06-10T10:25:00Z,2018-06-10T10:25:00Z,IFR,A388,H,09R,242,DEP,219168497,2018-06-10T11:04:04Z,51.3813888888889,0.5952777777777779,110,2018-06-10T11:12:30Z,51.1822222222222,2.16138888888889,237
BAW794,GEUYC,EGLL,EFHK,2018-06-10T10:37:00Z,2018-06-10T10:21:00Z,2018-06-10T10:25:00Z,IFR,A320,MJ,09R,311,DEP,219168509,2018-06-10T10:46:47Z,51.8488888888889,0.430833333333333,157,2018-06-10T10:55:07Z,52.195833333333304,1.9725,282
VIR21K,GVNYC,EGLL,KIAD,2018-06-10T10:47:00Z,2018-06-10T10:30:00Z,2018-06-10T10:30:00Z,IFR,A333,H,09R,317,DEP,219168636,2018-06-10T10:58:01Z,51.5708333333333,-1.52,172,2018-06-10T11:06:25Z,51.9227777777778,-3.0452777777777804,290
THY6KU,TCLKC,EGLL,LTBA,2018-06-10T11:30:00Z,2018-06-10T11:10:00Z,2018-06-10T10:30:00Z,IFR,B77W,H,09R,243,DEP,219168642,2018-06-10T11:39:29Z,51.853888888888896,0.426111111111111,152,2018-06-10T11:47:13Z,52.1372222222222,2.0166666666666697,341
DLH5U,DAINC,EGLL,EDDF,2018-06-10T11:28:00Z,2018-06-10T11:07:00Z,2018-06-10T10:30:00Z,IFR,A320,MJ,09R,218L,DEP,219168629,2018-06-10T11:37:23Z,51.3758333333333,0.593888888888889,88,2018-06-10T11:45:27Z,51.179166666666696,2.1611111111111105,245
BAW344N,GEUUF,EGLL,LFMN,2018-06-10T10:44:00Z,2018-06-10T10:29:00Z,2018-06-10T10:30:00Z,IFR,A320,MJ,09R,541,DEP,219168681,2018-06-10T10:52:40Z,50.83194444444439,-0.19722222222222202,189,2018-06-10T11:01:06Z,49.94,0.547777777777778,316
IBE31TL,ECIZH,EGLL,LEMD,2018-06-10T10:36:00Z,2018-06-10T10:28:00Z,2018-06-10T10:35:00Z,IFR,A320,MJ,09R,521,DEP,219168953,2018-06-10T10:46:35Z,51.01,-1.21833333333333,146,2018-06-10T10:54:49Z,50.12638888888891,-2.00444444444444,283
BAW730,GEUYN,EGLL,LSGG,2018-06-10T10:57:00Z,2018-06-10T10:35:00Z,2018-06-10T10:35:00Z,IFR,A320,MJ,09R,512,DEP,219168851,2018-06-10T11:05:35Z,50.85527777777779,-0.08277777777777781,195,2018-06-10T11:14:01Z,50.025555555555506,0.8230555555555551,330
UAL26,N29907,EGLL,KDEN,2018-06-10T11:04:00Z,2018-06-10T10:36:00Z,2018-06-10T10:35:00Z,IFR,B788,H,09R,232,DEP,219168878,2018-06-10T11:13:28Z,51.553611111111096,-1.52277777777778,151,2018-06-10T11:21:25Z,51.9602777777778,-3.0272222222222203,294
BAW702,GEUYU,EGLL,LOWW,2018-06-10T11:16:00Z,2018-06-10T10:40:00Z,2018-06-10T10:35:00Z,IFR,A320,MJ,09R,309,DEP,219168829,2018-06-10T11:24:52Z,51.794722222222205,0.48222222222222205,195,2018-06-10T11:33:00Z,52.0505555555555,2.06666666666667,316
VIR5C,GVGEM,EGLL,KMIA,2018-06-10T10:59:00Z,2018-06-10T10:38:00Z,2018-06-10T10:35:00Z,IFR,A333,H,09R,326,DEP,219168918,2018-06-10T11:09:39Z,51.6008333333333,-1.5125,152,2018-06-10T11:18:09Z,51.75,-3.1052777777777805,249
SHT8R,GEUYO,EGLL,EGPH,2018-06-10T10:52:00Z,2018-06-10T10:36:00Z,2018-06-10T10:40:00Z,IFR,A320,MJ,09R,519,DEP,219169060,2018-06-10T11:01:19Z,52.1436111111111,-0.423333333333333,200,2018-06-10T11:10:12Z,53.0755555555555,-1.2369444444444397,320
BAW886Q,GEUXD,EGLL,LROP,2018-06-10T11:07:00Z,2018-06-10T10:47:00Z,2018-06-10T10:40:00Z,IFR,A321,MJ,09R,544L,DEP,219169039,2018-06-10T11:15:45Z,51.7994444444444,0.47888888888888914,154,2018-06-10T11:24:04Z,52.0513888888889,2.06694444444444,269
BAW7,GSTBC,EGLL,RJTT,2018-06-10T11:00:00Z,2018-06-10T10:40:00Z,2018-06-10T10:40:00Z,IFR,B77W,H,09R,554,DEP,219168974,2018-06-10T11:08:28Z,51.910833333333294,0.354722222222222,153,2018-06-10T11:16:13Z,52.5305555555556,1.63222222222222,284
BAW2JA,GEUPG,EGLL,EHAM,2018-06-10T10:58:00Z,2018-06-10T10:43:00Z,2018-06-10T10:45:00Z,IFR,A319,MJ,09R,515,DEP,219169231,2018-06-10T11:07:06Z,51.925000000000004,0.334166666666667,170,2018-06-10T11:16:17Z,52.23166666666669,1.9469444444444397,230
KLM1010,PHBXO,EGLL,EHAM,2018-06-10T11:20:00Z,2018-06-10T11:01:00Z,2018-06-10T10:45:00Z,IFR,B739,MJ,09R,408,DEP,219169161,2018-06-10T11:29:58Z,51.84083333333329,0.43972222222222207,131,2018-06-10T11:37:57Z,52.133888888888904,2.0175,288
KAC104,9KAOK,EGLL,OKBK,2018-06-10T11:54:00Z,2018-06-10T11:30:00Z,2018-06-10T10:45:00Z,IFR,B77W,H,09R,409,DEP,219169689,2018-06-10T12:02:06Z,51.34027777777779,0.583888888888889,201,2018-06-10T12:09:22Z,51.1438888888889,2.1486111111111104,335
AFR74GH,FGRHM,EGLL,LFPG,2018-06-10T11:05:00Z,2018-06-10T10:47:00Z,2018-06-10T10:50:00Z,IFR,A319,MJ,09R,412,DEP,219169352,2018-06-10T11:15:38Z,50.8438888888889,-0.13555555555555499,176,2018-06-10T11:25:41Z,50.0833333333333,0.9697222222222219,196
SHT18C,GEUPH,EGLL,EGPD,2018-06-10T11:18:00Z,2018-06-10T10:53:00Z,2018-06-10T10:50:00Z,IFR,A319,MJ,09R,508,DEP,219169397,2018-06-10T11:28:02Z,52.1433333333333,-0.47444444444444406,190,2018-06-10T11:36:52Z,53.0969444444444,-1.1,319
BAW662,GBNWB,EGLL,LCLK,2018-06-10T11:17:00Z,2018-06-10T10:53:00Z,2018-06-10T10:50:00Z,IFR,B763,H,09R,505,DEP,219169401,2018-06-10T11:26:21Z,50.846666666666685,-0.121388888888889,168,2018-06-10T11:34:26Z,49.97194444444439,0.6569444444444441,327
VIR137Y,GVRAY,EGLL,KJFK,2018-06-10T11:01:00Z,2018-06-10T10:38:00Z,2018-06-10T10:50:00Z,IFR,A333,H,09R,303,DEP,219169370,2018-06-10T11:11:24Z,51.5908333333333,-1.515,162,2018-06-10T11:20:05Z,51.8397222222222,-3.07861111111111,262
