icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,first,last
4ca63b,1562536224,LEBL,1562543442,EIDW,EIN56V  ,14992,1284,1871,20,0,4,2019-07-07T21:50:24Z,2019-07-07T23:50:42Z
4ca0d1,1562530059,NA,1562542731,EIDW,EIN38JC ,NA,NA,6221,208,0,4,2019-07-07T20:07:39Z,2019-07-07T23:38:51Z
4a09af,1562530492,NA,1562542358,EIDW,BMS8UT  ,NA,NA,2726,10,0,4,2019-07-07T20:14:52Z,2019-07-07T23:32:38Z
4ca857,1562532353,NA,1562542127,EIDW,RYR7379 ,NA,NA,2796,17,0,4,2019-07-07T20:45:53Z,2019-07-07T23:28:47Z
4ca281,1562534220,LIMC,1562541675,EIDW,EIN4VM  ,435,70,2861,25,2,4,2019-07-07T21:17:00Z,2019-07-07T23:21:15Z
4ca213,1562528814,NA,1562541480,EIDW,EIN7RE  ,NA,NA,2507,10,0,4,2019-07-07T19:46:54Z,2019-07-07T23:18:00Z
4ca15d,1562528644,NA,1562541105,EIDW,EIN76HJ ,NA,NA,2835,25,0,4,2019-07-07T19:44:04Z,2019-07-07T23:11:45Z
4ca855,1562533022,LIME,1562540926,EIDW,RYR4845 ,3144,485,3332,48,1,4,2019-07-07T20:57:02Z,2019-07-07T23:08:46Z
4caca8,1562532723,LFMN,1562540748,EIDW,RYR174D ,1323,232,2622,10,0,4,2019-07-07T20:52:03Z,2019-07-07T23:05:48Z
4ca644,1562532780,LIMC,1562540631,EIDW,RYR14QY ,635,17,2758,17,2,4,2019-07-07T20:53:00Z,2019-07-07T23:03:51Z
4ca2cb,1562533025,LSZH,1562540530,EIDW,EIN34Y  ,441,27,2967,25,1,4,2019-07-07T20:57:05Z,2019-07-07T23:02:10Z
4ca9ed,1562526217,NA,1562540374,EIDW,RYR9YR  ,NA,NA,3339,48,0,4,2019-07-07T19:03:37Z,2019-07-07T22:59:34Z
3c66b7,1562532887,EDDM,1562540264,EIDW,DLH3RF  ,1835,202,2727,17,0,4,2019-07-07T20:54:47Z,2019-07-07T22:57:44Z
4ca0fe,1562530774,LPFR,1562539941,EIDW,EIN497  ,4314,556,2956,25,0,4,2019-07-07T20:19:34Z,2019-07-07T22:52:21Z
4cab72,1562531150,LIPE,1562539826,EIDW,RYR7RC  ,2547,396,2805,25,0,4,2019-07-07T20:25:50Z,2019-07-07T22:50:26Z
4cab71,1562529994,EVRA,1562539470,EIDW,RYR6AD  ,610,202,2764,17,1,4,2019-07-07T20:06:34Z,2019-07-07T22:44:30Z
4ca809,1562529091,LIRA,1562539326,EIDW,RYR75YE ,289,7,2987,32,0,4,2019-07-07T19:51:31Z,2019-07-07T22:42:06Z
4ca9c3,1562536957,NA,1562539213,EIDW,RYR42EB ,NA,NA,2371,2,0,4,2019-07-07T22:02:37Z,2019-07-07T22:40:13Z
4ca2a7,1562530487,LEMP,1562539098,EIDW,RYR7095 ,2775,713,3408,55,0,4,2019-07-07T20:14:47Z,2019-07-07T22:38:18Z
4ca623,1562531017,NA,1562538945,EIDW,RYR37QL ,NA,NA,2759,17,0,4,2019-07-07T20:23:37Z,2019-07-07T22:35:45Z
4ca739,1562530357,LPPT,1562538839,EIDW,RYR8HZ  ,6162,587,2444,2,1,4,2019-07-07T20:12:37Z,2019-07-07T22:33:59Z
4ca912,1562536569,EGPF,1562538753,EIDW,RYR7UT  ,1936,197,2533,10,0,4,2019-07-07T21:56:09Z,2019-07-07T22:32:33Z
4ca244,1562531269,LEMD,1562538622,EIDW,RYR7TD  ,3183,23,2971,32,1,4,2019-07-07T20:27:49Z,2019-07-07T22:30:22Z
4ca5e9,1562530808,LEBL,1562538425,EIDW,RYR29CU ,13918,1497,2559,17,0,4,2019-07-07T20:20:08Z,2019-07-07T22:27:05Z
4cabb9,1562529171,NA,1562538245,EIDW,RYR9HH  ,NA,NA,2801,25,0,4,2019-07-07T19:52:51Z,2019-07-07T22:24:05Z
504dd9,1562525900,NA,1562538112,EIDW,MLD831  ,NA,NA,2223,12,0,4,2019-07-07T18:58:20Z,2019-07-07T22:21:52Z
4ca1bb,1562528838,LEMG,1562537901,EIDW,RYR8MF  ,3335,418,9527,383,0,4,2019-07-07T19:47:18Z,2019-07-07T22:18:21Z
4ca2a9,1562530372,EDDM,1562537872,EIDW,RYR77KT ,1161,95,2721,17,0,4,2019-07-07T20:12:52Z,2019-07-07T22:17:52Z
4ca258,1562534340,EGKK,1562537746,EIDW,RYR104K ,2232,235,3296,48,1,4,2019-07-07T21:19:00Z,2019-07-07T22:15:46Z
4ca97e,1562525573,NA,1562537630,EIDW,RYR30YP ,NA,NA,2920,25,0,4,2019-07-07T18:52:53Z,2019-07-07T22:13:50Z
4ca214,1562531691,EDDH,1562537467,EIDW,EIN93E  ,1574,14,2580,10,0,4,2019-07-07T20:34:51Z,2019-07-07T22:11:07Z
4ca8bd,1562530560,EDDT,1562537245,EIDW,EIN33L  ,821,115,3369,48,0,4,2019-07-07T20:16:00Z,2019-07-07T22:07:25Z
3c648a,1562530441,EDDF,1562537065,EIDW,DLH982  ,1601,19,5724,177,1,4,2019-07-07T20:14:01Z,2019-07-07T22:04:25Z
4ca910,1562533650,EGSS,1562536919,EIDW,RYR96JL ,1500,23,2544,10,1,4,2019-07-07T21:07:30Z,2019-07-07T22:01:59Z
4ca1c3,1562535140,EGGP,1562536818,EIDW,RYR449  ,1622,67,2560,10,0,4,2019-07-07T21:32:20Z,2019-07-07T22:00:18Z
4ca217,1562533927,EGLL,1562536715,EIDW,EIN183  ,670,10,2381,2,3,4,2019-07-07T21:12:07Z,2019-07-07T21:58:35Z
4ca7be,1562528245,LIPH,1562536578,EIDW,RYR95DD ,2933,416,2627,17,1,4,2019-07-07T19:37:25Z,2019-07-07T21:56:18Z
4cacac,1562527740,LPFR,1562536490,EIDW,RYR2KD  ,9836,1013,2500,2,0,4,2019-07-07T19:29:00Z,2019-07-07T21:54:50Z
4caa5e,1562527593,EPGD,1562536117,EIDW,RYR2AK  ,1763,64,2658,10,0,4,2019-07-07T19:26:33Z,2019-07-07T21:48:37Z
4ca27f,1562533170,EGKK,1562535993,EIDW,EIN24K  ,2101,266,2823,25,1,4,2019-07-07T20:59:30Z,2019-07-07T21:46:33Z
4cabb8,1562533710,EGCC,1562535642,EIDW,RYR7M   ,591,20,2909,25,0,4,2019-07-07T21:08:30Z,2019-07-07T21:40:42Z
4ca13d,1562531047,LFPG,1562535453,EIDW,EIN529  ,1610,86,4130,101,2,4,2019-07-07T20:24:07Z,2019-07-07T21:37:33Z
4ca293,1562531192,EBBR,1562535266,EIDW,EIN63K  ,1074,17,3401,55,2,4,2019-07-07T20:26:32Z,2019-07-07T21:34:26Z
4ca5f0,1562530808,EHAM,1562535037,EIDW,RYR5GW  ,5038,34,3414,63,0,4,2019-07-07T20:20:08Z,2019-07-07T21:30:37Z
40697c,1562532069,EGLL,1562534791,EIDW,BAW826Q ,642,5,9167,360,3,4,2019-07-07T20:41:09Z,2019-07-07T21:26:31Z
4ca555,1562532245,EGBB,1562534488,EIDW,EIN27G  ,2411,220,5593,208,0,4,2019-07-07T20:44:05Z,2019-07-07T21:21:28Z
4cafa6,1562529724,EHAM,1562534243,EIDW,KLM25Q  ,1888,42,9119,352,0,4,2019-07-07T20:02:04Z,2019-07-07T21:17:23Z
4ca216,1562531513,EGLL,1562534095,EIDW,EIN179  ,1364,5,7578,276,2,4,2019-07-07T20:31:53Z,2019-07-07T21:14:55Z
4ca836,1562529184,EHAM,1562533973,EIDW,EIN611  ,2059,34,7155,261,0,4,2019-07-07T19:53:04Z,2019-07-07T21:12:53Z
4ca117,1562525166,LEMG,1562533800,EIDW,EIN70V  ,3395,349,8501,337,0,4,2019-07-07T18:46:06Z,2019-07-07T21:10:00Z
4ca78d,1562531257,EGNX,1562533619,EIDW,RYR537  ,1411,39,2403,2,0,4,2019-07-07T20:27:37Z,2019-07-07T21:06:59Z
4ca6b2,1562530380,EGNM,1562533007,EIDW,STK3395 ,1229,165,9651,391,1,4,2019-07-07T20:13:00Z,2019-07-07T20:56:47Z
4ca935,1562524950,EDDM,1562532858,EIDW,EIN3AR  ,1747,179,7610,269,0,4,2019-07-07T18:42:30Z,2019-07-07T20:54:18Z
3944f3,1562528031,LFPG,1562532814,EIDW,AFR94HE ,1344,55,3345,48,2,4,2019-07-07T19:33:51Z,2019-07-07T20:53:34Z
4ca837,1562530671,EGCC,1562532692,EIDW,EIN213  ,1262,51,3447,63,0,4,2019-07-07T20:17:51Z,2019-07-07T20:51:32Z
4ca8e8,1562529292,EGSS,1562532599,EIDW,RYR293  ,1423,23,2043,12,1,4,2019-07-07T19:54:52Z,2019-07-07T20:49:59Z
424253,1562519087,UUEE,1562532509,EIDW,AFL2590 ,2046,480,1646,35,0,4,2019-07-07T17:04:47Z,2019-07-07T20:48:29Z
4ca24f,1562529935,EGGD,1562532369,EIDW,RYR6BD  ,2874,252,3358,55,0,4,2019-07-07T20:05:35Z,2019-07-07T20:46:09Z
4ca647,1562529916,EGBB,1562532265,EIDW,RYR4UB  ,3736,334,1661,28,0,4,2019-07-07T20:05:16Z,2019-07-07T20:44:25Z
4ca212,1562525495,EDDF,1562532090,EIDW,EIN65T  ,2065,11,4449,109,1,4,2019-07-07T18:51:35Z,2019-07-07T20:41:30Z
4ca640,1562529187,EGKK,1562531973,EIDW,EIN245  ,2112,227,3321,55,1,4,2019-07-07T19:53:07Z,2019-07-07T20:39:33Z
4ca6c4,1562526667,EDDL,1562531809,EIDW,EIN69Y  ,574,16,7549,276,0,4,2019-07-07T19:11:07Z,2019-07-07T20:36:49Z
4caad9,1562528160,EGPH,1562531667,EIDW,STK59ED ,996,25,2636,17,0,4,2019-07-07T19:36:00Z,2019-07-07T20:34:27Z
4cc514,1562526577,EBLG,1562531435,EIDW,TAY029V ,3245,302,10295,452,0,4,2019-07-07T19:09:37Z,2019-07-07T20:30:35Z
4ca8e9,1562529333,EGNM,1562531392,EIDW,RYR9PH  ,2044,242,1890,20,1,4,2019-07-07T19:55:33Z,2019-07-07T20:29:52Z
4ca5c8,1562523425,LIML,1562531102,EIDW,EIN1433 ,2517,410,3485,63,1,4,2019-07-07T18:17:05Z,2019-07-07T20:25:02Z
4ca6b1,1562528206,EGPF,1562530770,EIDW,STK28GL ,1903,266,10181,421,0,4,2019-07-07T19:36:46Z,2019-07-07T20:19:30Z
4ca80f,1562527411,EGHH,1562530557,EIDW,RYR22AE ,422,34,2992,32,0,4,2019-07-07T19:23:31Z,2019-07-07T20:15:57Z
4cafc0,1562527195,EGMC,1562530394,EIDW,RYR4LY  ,934,46,1968,20,0,4,2019-07-07T19:19:55Z,2019-07-07T20:13:14Z
4ca75f,1562526611,EGGW,1562529629,EIDW,RYR1GF  ,133,38,2092,12,0,4,2019-07-07T19:10:11Z,2019-07-07T20:00:29Z
4ca5be,1562526019,EGLC,1562529234,EIDW,EIN291  ,1684,93,6755,284,1,4,2019-07-07T19:00:19Z,2019-07-07T19:53:54Z
4ca2ca,1562526004,EGLL,1562528862,EIDW,EIN1YG  ,1529,134,2016,12,2,4,2019-07-07T19:00:04Z,2019-07-07T19:47:42Z
4ca9c3,1562524092,EBBR,1562528719,EIDW,RYR38XR ,802,20,2479,10,2,4,2019-07-07T18:28:12Z,2019-07-07T19:45:19Z
4ca79b,1562526784,EGGP,1562528366,EIDW,RYR7UJ  ,1321,97,1760,28,0,4,2019-07-07T19:13:04Z,2019-07-07T19:39:26Z
4ca912,1562526348,EGGP,1562528206,EIDW,RYR3NL  ,1605,89,1911,20,0,4,2019-07-07T19:05:48Z,2019-07-07T19:36:46Z
4ca90f,1562523001,EBCI,1562528036,EIDW,RYR706P ,7566,872,2413,10,1,4,2019-07-07T18:10:01Z,2019-07-07T19:33:56Z
4caad7,1562524313,NA,1562527928,EIDW,STK45BZ ,NA,NA,3238,48,0,4,2019-07-07T18:31:53Z,2019-07-07T19:32:08Z
89631a,1562499152,OMDB,1562527764,EIDW,UAE163  ,755,163,2479,10,0,4,2019-07-07T11:32:32Z,2019-07-07T19:29:24Z
4ca1c3,1562524113,EGKK,1562527630,EIDW,RYR11DE ,2333,311,1974,12,1,4,2019-07-07T18:28:33Z,2019-07-07T19:27:10Z
4ca161,1562524278,EGGD,1562527511,EIDW,STK87DR ,1235,115,2862,32,0,4,2019-07-07T18:31:18Z,2019-07-07T19:25:11Z
4061e7,1562524089,EGLC,1562527288,EIDW,CFE71E  ,578,32,9679,398,1,4,2019-07-07T18:28:09Z,2019-07-07T19:21:28Z
4402bf,1562517946,LOWW,1562527035,EIDW,LDM9CP  ,1589,30,2481,17,0,4,2019-07-07T16:45:46Z,2019-07-07T19:17:15Z
4010dc,1562523062,EGLL,1562526377,EIDW,BAW85Q  ,924,50,2103,5,3,4,2019-07-07T18:11:02Z,2019-07-07T19:06:17Z
4ca540,1562523833,EGBB,1562526174,EIDW,RYR667  ,4911,441,2791,25,0,4,2019-07-07T18:23:53Z,2019-07-07T19:02:54Z
4ca4f2,1562519645,EDDF,1562525958,EIDW,RYR31XY ,1867,4,8571,337,1,4,2019-07-07T17:14:05Z,2019-07-07T18:59:18Z
4cab17,1562522736,EGPH,1562525919,EIDW,STK57R  ,10811,781,2796,32,0,4,2019-07-07T18:05:36Z,2019-07-07T18:58:39Z
4ca8a9,1562515777,LHBP,1562525804,EIDW,RYR25NF ,1140,39,1780,20,0,4,2019-07-07T16:09:37Z,2019-07-07T18:56:44Z
4ca646,1562516455,LPFR,1562525699,EIDW,RYR7031 ,7293,701,2454,10,0,4,2019-07-07T16:20:55Z,2019-07-07T18:54:59Z
40710e,1562522223,EGHI,1562525608,EIDW,BEE6LN  ,3421,398,1877,20,0,4,2019-07-07T17:57:03Z,2019-07-07T18:53:28Z
4ca92d,1562521890,EGLL,1562524580,EIDW,EIN17R  ,962,81,2183,12,3,4,2019-07-07T17:51:30Z,2019-07-07T18:36:20Z
4ca910,1562521358,EGSS,1562524408,EIDW,RYR8614 ,1176,46,2011,12,1,4,2019-07-07T17:42:38Z,2019-07-07T18:33:28Z
39cea2,1562519070,LFPO,1562524196,EIDW,TVF45NJ ,3776,452,2653,17,0,4,2019-07-07T17:04:30Z,2019-07-07T18:29:56Z
4ca6a5,1562517007,EDDB,1562524062,EIDW,RYR26SN ,625,20,1770,20,0,4,2019-07-07T16:30:07Z,2019-07-07T18:27:42Z
4d00c1,1562518200,ELLX,1562523859,EIDW,LGL43D  ,940,17,2094,12,0,4,2019-07-07T16:50:00Z,2019-07-07T18:24:19Z
4ca78d,1562518895,EHAM,1562523317,EIDW,RYR96NU ,4275,34,2614,25,0,4,2019-07-07T17:01:35Z,2019-07-07T18:15:17Z
4ca258,1562515481,LEMD,1562523132,EIDW,RYR5VN  ,441,31,2474,10,1,4,2019-07-07T16:04:41Z,2019-07-07T18:12:12Z
4ca5f1,1562518943,EGKK,1562522682,EIDW,RYR858Z ,3970,380,2533,10,1,4,2019-07-07T17:02:23Z,2019-07-07T18:04:42Z
4075ff,1562518714,EGLL,1562522303,EIDW,BAW82DM ,1075,89,1692,20,2,4,2019-07-07T16:58:34Z,2019-07-07T17:58:23Z
4ca555,1562518673,EGLC,1562522147,EIDW,EIN2TA  ,745,17,2175,5,1,4,2019-07-07T16:57:53Z,2019-07-07T17:55:47Z
4ca63a,1562512956,LOWW,1562522007,EIDW,EIN665  ,2623,198,1859,20,0,4,2019-07-07T15:22:36Z,2019-07-07T17:53:27Z
4ca24f,1562513913,LEBL,1562521769,EIDW,RYR66MP ,13372,1383,9365,383,0,4,2019-07-07T15:38:33Z,2019-07-07T17:49:29Z
4cabb8,1562506641,LGAV,1562521618,EIDW,RYR1LB  ,7375,1125,2449,10,0,4,2019-07-07T13:37:21Z,2019-07-07T17:46:58Z
4ca9d4,1562513122,NA,1562521120,EIDW,RYR93SU ,NA,NA,1755,28,0,4,2019-07-07T15:25:22Z,2019-07-07T17:38:40Z
4ca837,1562512943,LKKL,1562520987,EIDW,EIN64W  ,5428,1007,2455,17,2,4,2019-07-07T15:22:23Z,2019-07-07T17:36:27Z
4ca292,1562513986,LSGG,1562520867,EIDW,EIN68R  ,532,57,2454,10,1,4,2019-07-07T15:39:46Z,2019-07-07T17:34:27Z
4ca5f0,1562518036,EGBB,1562520719,EIDW,RYR673  ,4610,578,2042,5,0,4,2019-07-07T16:47:16Z,2019-07-07T17:31:59Z
4ca9cd,1562517961,EGCC,1562520584,EIDW,RYR6EC  ,3445,112,1904,12,0,4,2019-07-07T16:46:01Z,2019-07-07T17:29:44Z
4ca13d,1562515192,LFPG,1562520383,EIDW,EIN527  ,1503,93,7427,276,2,4,2019-07-07T15:59:52Z,2019-07-07T17:26:23Z
4ca607,1562517405,EGCC,1562520316,EIDW,STK327D ,1790,13,1636,28,0,4,2019-07-07T16:36:45Z,2019-07-07T17:25:16Z
4ca6b2,1562517580,NA,1562520171,EIDW,STK31Q  ,NA,NA,2485,17,0,4,2019-07-07T16:39:40Z,2019-07-07T17:22:51Z
4ca97d,1562516185,EGSS,1562520023,EIDW,RYR73JJ ,949,38,2592,17,1,4,2019-07-07T16:16:25Z,2019-07-07T17:20:23Z
4ca6b1,1562516672,EGPF,1562519872,EIDW,STK27GL ,1615,213,2564,17,0,4,2019-07-07T16:24:32Z,2019-07-07T17:17:52Z
4ca217,1562516310,EGLL,1562519724,EIDW,EIN169  ,1528,165,1786,20,2,4,2019-07-07T16:18:30Z,2019-07-07T17:15:24Z
4ca620,1562512626,EKCH,1562519574,EIDW,SAS99K  ,3116,71,2523,25,0,4,2019-07-07T15:17:06Z,2019-07-07T17:12:54Z
4ca215,1562510191,LPFR,1562519447,EIDW,EIN45D  ,3918,503,2560,17,0,4,2019-07-07T14:36:31Z,2019-07-07T17:10:47Z
4ca63b,1562516100,NA,1562519305,EIDW,EIN74P  ,NA,NA,1885,12,0,4,2019-07-07T16:15:00Z,2019-07-07T17:08:25Z
4cab97,1562510763,NA,1562519156,EIDW,RYR46XU ,NA,NA,1899,12,0,4,2019-07-07T14:46:03Z,2019-07-07T17:05:56Z
4ca788,1562510891,LFNR,1562519030,EIDW,EIN51G  ,6094,851,2237,2,2,4,2019-07-07T14:48:11Z,2019-07-07T17:03:50Z
4caf89,1562517336,EGNS,1562518889,EIDW,STK3217 ,4902,1104,2611,17,0,4,2019-07-07T16:35:36Z,2019-07-07T17:01:29Z
4ca216,1562515116,EGLL,1562518766,EIDW,EIN16T  ,1171,81,2507,10,2,4,2019-07-07T15:58:36Z,2019-07-07T16:59:26Z
4ca280,1562513881,NA,1562518632,EIDW,EIN7T9  ,NA,NA,2915,32,0,4,2019-07-07T15:38:01Z,2019-07-07T16:57:12Z
4caad9,1562514835,EGPH,1562518508,EIDW,STK57ED ,172,33,2044,5,0,4,2019-07-07T15:53:55Z,2019-07-07T16:55:08Z
4caca8,1562502313,NA,1562518385,EIDW,RYR23DU ,NA,NA,2475,10,0,4,2019-07-07T12:25:13Z,2019-07-07T16:53:05Z
4ca912,1562515966,EGPF,1562518229,EIDW,RYR7XQ  ,1951,281,2742,25,0,4,2019-07-07T16:12:46Z,2019-07-07T16:50:29Z
4ca644,1562512401,EDDK,1562518109,EIDW,RYR244X ,411,22,2559,17,1,4,2019-07-07T15:13:21Z,2019-07-07T16:48:29Z
4ca281,1562512513,LFBD,1562517980,EIDW,EIN50W  ,1195,95,2628,25,0,4,2019-07-07T15:15:13Z,2019-07-07T16:46:20Z
4ca293,1562512715,EHAM,1562517800,EIDW,EIN60Y  ,1625,34,2084,12,0,4,2019-07-07T15:18:35Z,2019-07-07T16:43:20Z
4ca706,1562510014,LKKL,1562517629,EIDW,RYR10AU ,5661,961,2554,17,2,4,2019-07-07T14:33:34Z,2019-07-07T16:40:29Z
4ca4ec,1562514083,EGSS,1562517409,EIDW,RYR678  ,1556,61,2011,5,1,4,2019-07-07T15:41:23Z,2019-07-07T16:36:49Z
4ca836,1562514956,EGCC,1562517109,EIDW,EIN2VX  ,3274,157,1657,20,0,4,2019-07-07T15:55:56Z,2019-07-07T16:31:49Z
345686,1562508911,LEMD,1562516855,EIDW,IBS3790 ,1009,53,2609,17,1,4,2019-07-07T14:15:11Z,2019-07-07T16:27:35Z
4ca214,1562508719,NA,1562516716,EIDW,EIN545  ,NA,NA,2506,10,0,4,2019-07-07T14:11:59Z,2019-07-07T16:25:16Z
4ca623,1562513731,EGGD,1562516475,EIDW,RYR4UY  ,3287,404,2470,17,0,4,2019-07-07T15:35:31Z,2019-07-07T16:21:15Z
3c6487,1562509629,EDDF,1562516356,EIDW,DLH5LE  ,1101,4,1867,28,1,4,2019-07-07T14:27:09Z,2019-07-07T16:19:16Z
4ca79b,1562511150,NA,1562516209,EIDW,RYR8VJ  ,NA,NA,2120,5,0,4,2019-07-07T14:52:30Z,2019-07-07T16:16:49Z
4951ca,1562507202,LPPT,1562515964,EIDW,TAP1324 ,3685,381,3221,55,1,4,2019-07-07T13:46:42Z,2019-07-07T16:12:44Z
3c6481,1562507940,EDDM,1562515834,EIDW,DLH6VC  ,1221,118,2580,10,0,4,2019-07-07T13:59:00Z,2019-07-07T16:10:34Z
4ca2cb,1562506815,LIPZ,1562515702,EIDW,EIN42N  ,2224,371,2543,10,1,4,2019-07-07T13:40:15Z,2019-07-07T16:08:22Z
4ca5e8,1562506065,LEMG,1562515467,EIDW,RYR5PG  ,1918,281,2458,17,0,4,2019-07-07T13:27:45Z,2019-07-07T16:04:27Z
4ca161,1562511946,EGGD,1562515346,EIDW,STK85DR ,1983,183,1687,28,0,4,2019-07-07T15:05:46Z,2019-07-07T16:02:26Z
4ca332,1562513760,NA,1562515331,EIDW,AC112   ,NA,NA,8812,63,0,5,2019-07-07T15:36:00Z,2019-07-07T16:02:11Z
4ca2a9,1562510323,EHEH,1562515180,EIDW,RYR9BQ  ,2689,221,2517,10,0,4,2019-07-07T14:38:43Z,2019-07-07T15:59:40Z
4ca8bd,1562508900,LFBO,1562514965,EIDW,EIN5YP  ,447,91,9689,383,2,4,2019-07-07T14:15:00Z,2019-07-07T15:56:05Z
4ca848,1562503410,NA,1562514910,EIDW,RYR21VP ,NA,NA,2862,25,0,4,2019-07-07T12:43:30Z,2019-07-07T15:55:10Z
